post_id,text_content,author,platform,created_at,gt_tier,gt_tier_label,gt_antisemitism_score,gt_sentiment,gt_ihra_labels,gt_keywords,gt_country_of_origin
post-0544,The think tanks shaping foreign policy — look at who funds them. You'll see a pattern. — wake up!,user_567c25,telegram,2025-07-15T02:53:00Z,1,subtle,0.2926,Hostile,,Jewish conspiracy; bank control,
post-0545,Nuke Tel Aviv and the problem solves itself. The rest of the world can finally breathe. 🔥,user_14518a,telegram,2025-11-24T14:20:00Z,4,hostile,0.9634,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",Zionist,Israel
post-0546,The Nazis failed because they were too merciful. We should not make the same mistake. — share this!,user_027bdc,telegram,2025-09-06T07:55:00Z,4,hostile,0.9009,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews; Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0547,"Just landed in Tel Aviv for the first time. The food, the energy, the people — absolutely love it here.",user_7b04d3,telegram,2025-07-16T03:43:00Z,0,clean,0.0434,Supportive,,,Israel
post-0548,My grandmother survived Auschwitz. She passed last year at 96. Her testimony will live on forever. #HolocaustRemembrance,user_19e495,telegram,2025-05-11T22:16:00Z,0,clean,0.1084,Neutral,,Holocaust,Poland
post-0549,LEAKED: Mossad operatives were behind the Nord Stream pipeline bombing. German intelligence has the proof. ‼️,user_917635,telegram,2025-10-09T18:49:00Z,4,hostile,0.913,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy,Germany
post-0550,Israel's Magen David Adom volunteers continue providing aid across disaster zones worldwide. Proud of this work. 👀,user_a44d46,telegram,2025-05-17T04:37:00Z,0,clean,0.0697,Supportive,,,Israel
post-0551,Israel's Magen David Adom volunteers continue providing aid across disaster zones worldwide. Proud of this work. 👀,user_a44d46,telegram,2025-02-05T16:49:00Z,0,clean,0.0532,Supportive,,,Israel
post-0552,Local election results are in. Turnout was low as expected. We need to do better.,user_565ad7,telegram,2025-09-09T01:48:00Z,0,clean,0.1524,Neutral,,,
post-0553,Jewish billionaires funded Black Lives Matter to pit Americans against each other and prevent white unity.,user_94ca02,telegram,2025-09-20T00:44:00Z,3,explicit,0.829,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy; globalists,United States
post-0554,Today is International Holocaust Remembrance Day. Never forget the six million Jewish lives lost. #NeverAgain 🤔,user_b5ef94,telegram,2025-08-10T11:47:00Z,0,clean,0.0445,Neutral,,Holocaust; antisemitism,
post-0555,Why do the globalists always push for open borders? Who benefits from this chaos? Just asking. 📢,user_bf95e5,telegram,2025-09-09T06:36:00Z,1,subtle,0.3321,Hostile,,globalists,
post-0556,Strange coincidence how the Ukraine war benefited the same oligarchs who were already connected to Washington.,user_579410,telegram,2025-02-22T05:49:00Z,1,subtle,0.3778,Neutral,,globalists,Ukraine
post-0557,Healthcare workers deserve better pay and conditions. Simple as that.,user_d9e8f0,telegram,2025-11-03T09:00:00Z,0,clean,0.0972,Neutral,,,
post-0558,The Nazis failed because they were too merciful. We should not make the same mistake.,user_12d6bc,telegram,2025-10-31T06:57:00Z,4,hostile,0.8997,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews; Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0559,BREAKING: Declassified documents confirm Israel knew about the 9/11 attacks 72 hours in advance and said nothing.!!,user_a6cf14,telegram,2025-04-18T02:43:00Z,4,hostile,0.9389,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy,United States
post-0560,Proud to stand with the Jewish community at today's solidarity rally. Hate has no place here. 🔥,user_330564,telegram,2025-02-21T22:06:00Z,0,clean,0.0864,Supportive,,antisemitism,
post-0561,Dual citizenship in Israel should disqualify anyone from serving in Western governments. Period. — share this!,user_44104a,telegram,2025-08-14T07:26:00Z,2,coded,0.4891,Negative,Accusing Jewish citizens of dual loyalty,dual loyalty,
post-0562,"Jews in positions of power must be removed. Peacefully if possible, but removed either way. 📢",user_7237bf,telegram,2025-01-08T16:26:00Z,4,hostile,0.9249,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",Jewish conspiracy,
post-0563,Hollywood and the major news networks all seem to push the same narrative. Ever wonder why?,user_2a7cbd,telegram,2025-02-08T18:38:00Z,1,subtle,0.3162,Hostile,,media control,
post-0564,Burn every Jewish institution that funds Israeli apartheid. Start with the ones in your own city.!!,user_aeb2cf,telegram,2025-11-16T19:59:00Z,4,hostile,0.9433,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",synagogue; Jewish conspiracy,
post-0565,Shabbat Shalom everyone! Wishing a peaceful and restful Shabbat to all those celebrating tonight. 🕎 👀,user_4c8c3d,telegram,2025-10-28T08:48:00Z,0,clean,0.1763,Supportive,,,
post-0566,The reason Jews are so successful is because they nepotistically promote each other while excluding everyone else. 📢,user_59ac8a,telegram,2025-03-18T23:51:00Z,3,explicit,0.832,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0567,Shabbat Shalom everyone! Wishing a peaceful and restful Shabbat to all those celebrating tonight. 🕎 — wake up!,user_574857,telegram,2025-06-24T08:54:00Z,0,clean,0.116,Supportive,,,
post-0568,More civilians died in the Allied bombing of Dresden than in some camps. Why is one tragedy commemorated and the other ignored? — wake up!,user_29a5e0,telegram,2025-07-09T13:28:00Z,2,coded,0.6482,Negative,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust",Holocaust,Germany
post-0569,"Funny how the same faces keep appearing at Davos every year. The same bankers, the same agenda.",user_95f6d9,telegram,2025-08-31T01:51:00Z,1,subtle,0.3744,Hostile,,globalists; bank control,
post-0570,Every major war in the last 200 years was engineered by Jewish bankers to profit from both sides. ‼️,user_0e33a1,telegram,2025-12-28T20:47:00Z,3,explicit,0.7454,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy; bank control,
post-0571,George Soros funds organizations in over 100 countries. Why does one man have so much global influence? — wake up!,user_2c3d15,telegram,2025-05-07T22:22:00Z,1,subtle,0.4011,Hostile,,globalists,United States
post-0572,What the Zionist state is doing to Palestinians is exactly what was done to Jews in the 1930s. They became what they fought.,user_4abbef,telegram,2025-05-02T19:20:00Z,2,coded,0.6216,Negative,Drawing comparisons of contemporary Israeli policy to that of the Nazis,Holocaust,Israel
post-0573,Today is International Holocaust Remembrance Day. Never forget the six million Jewish lives lost. #NeverAgain — share this!,user_c0f114,telegram,2025-10-16T01:21:00Z,0,clean,0.1297,Neutral,,Holocaust; antisemitism,
post-0574,The new AI tools coming out this year are genuinely impressive. Exciting and slightly terrifying.,user_775b11,telegram,2025-10-18T04:40:00Z,0,clean,0.1871,Neutral,,,
post-0575,"Jews in positions of power must be removed. Peacefully if possible, but removed either way. ‼️",user_89326b,telegram,2025-12-18T08:22:00Z,4,hostile,0.9055,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",Jewish conspiracy,
post-0576,The think tanks shaping foreign policy — look at who funds them. You'll see a pattern.,user_a04063,telegram,2025-04-02T11:58:00Z,1,subtle,0.4267,Hostile,,Jewish conspiracy; bank control,
post-0577,Why is it antisemitic to point out that AIPAC has enormous influence over US elections? That's just factual. ‼️,user_7821a8,telegram,2025-05-17T04:50:00Z,1,subtle,0.3513,Negative,,dual loyalty,United States
post-0578,The Auschwitz-Birkenau Memorial receives over two million visitors a year. Memory is an act of resistance.,user_66f93e,telegram,2025-08-22T18:55:00Z,0,clean,0.1224,Neutral,,Holocaust,Poland
post-0579,"No hate intended, but has anyone else noticed which communities seem to be behind most major financial scandals? 👀",user_620817,telegram,2025-10-07T19:43:00Z,1,subtle,0.3373,Negative,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",bank control,
post-0580,Remarkable how the same foundation keeps appearing connected to every major social upheaval of the last 20 years. ‼️,user_a63c95,telegram,2025-05-24T01:19:00Z,1,subtle,0.4306,Neutral,,globalists,
post-0581,Question: why does every Western country prioritize Israel's security over the welfare of its own citizens? 📢,user_a32878,telegram,2025-06-02T22:43:00Z,1,subtle,0.225,Negative,,dual loyalty,
post-0582,The Federal Reserve has never been properly audited. Who really controls our money supply? 🤔,user_290c6a,telegram,2025-10-15T07:17:00Z,1,subtle,0.3256,Hostile,,bank control,United States
post-0583,Every major war in the last 200 years was engineered by Jewish bankers to profit from both sides. 🔥,user_75790b,telegram,2025-11-14T18:31:00Z,3,explicit,0.7716,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy; bank control,
post-0584,Why does the mainstream media never critically cover the Zionist state the way it covers other countries? Genuinely asking.,user_863269,telegram,2025-10-03T23:15:00Z,1,subtle,0.2605,Negative,,media control,
post-0585,The reason housing is unaffordable is Jewish landlords and real-estate firms systematically pricing out gentiles. — wake up!,user_30f8ce,telegram,2025-12-30T16:38:00Z,3,explicit,0.8041,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy; bank control,
post-0586,Anne Frank's diary was written in ballpoint pen — which wasn't invented until after the war. Think about it. 🔥,user_9c8bda,telegram,2025-05-20T17:41:00Z,3,explicit,0.8118,Hostile,"Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",Holocaust,
post-0587,Yom Kippur begins at sundown. An important day of reflection and atonement for Jewish communities worldwide. — wake up!,user_d79ed1,telegram,2025-04-05T09:16:00Z,0,clean,0.1049,Neutral,,,
post-0588,Every Jew who stays silent about Gaza is personally complicit in genocide. Silence is collaboration. — share this!,user_a23736,telegram,2025-01-18T17:01:00Z,2,coded,0.6318,Hostile,Holding Jews collectively responsible for actions of the State of Israel,Zionist,Israel
post-0589,Some people serve two masters. The question is which one comes first when there's a conflict. 🔥,user_d8206f,telegram,2025-07-05T10:58:00Z,1,subtle,0.3362,Negative,Accusing Jewish citizens of dual loyalty,dual loyalty,
post-0590,There were no gas chambers at Auschwitz. This has been proven by multiple engineers and chemists. 👀,user_28df4a,telegram,2025-07-24T00:48:00Z,3,explicit,0.6902,Hostile,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust",Holocaust,Poland
post-0591,"Jewish communities in the West cheer on Israeli airstrikes. Collective enthusiasm, collective responsibility. 👀",user_1d7d7b,telegram,2025-06-07T11:13:00Z,2,coded,0.6202,Hostile,Holding Jews collectively responsible for actions of the State of Israel,,
post-0592,Jewish journalists who push war propaganda are legitimate military targets. They are combatants. 🤔,user_52985c,telegram,2025-05-31T04:24:00Z,4,hostile,0.8919,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",media control,
post-0593,"Hanukkah starts tonight! Eight nights of light, family, and latkes. 🕯️🕯️ 🤔",user_103ae1,telegram,2025-11-22T22:45:00Z,0,clean,0.1933,Supportive,,,
post-0594,"Jews control the banks, the media, and the governments of the Western world. This is not a conspiracy — it's documented. 🤔",user_75dfb5,telegram,2025-06-25T10:35:00Z,3,explicit,0.808,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy; media control; bank control,
post-0595,The IDF's behavior in civilian areas is indistinguishable from Nazi military doctrine. History repeating itself. 🔥,user_17871f,telegram,2025-02-23T10:21:00Z,2,coded,0.5406,Hostile,Drawing comparisons of contemporary Israeli policy to that of the Nazis,Holocaust; Zionist,Israel
post-0596,Jewish politicians in Germany consistently vote for the Zionist state's interests over Germany's. This is dual loyalty — call it what it is.,user_ea41dd,telegram,2025-05-04T09:51:00Z,2,coded,0.5085,Hostile,Accusing Jewish citizens of dual loyalty,dual loyalty,Germany
post-0597,"Funny how the same faces keep appearing at Davos every year. The same bankers, the same agenda.",user_95f6d9,telegram,2025-07-31T00:49:00Z,1,subtle,0.3719,Hostile,,globalists; bank control,
post-0598,George Soros has spent over $30 billion dismantling national sovereignty worldwide. Who gave him that mission?!!,user_efcc8a,telegram,2025-02-14T02:37:00Z,2,coded,0.6581,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,globalists,United States
post-0599,LEAKED: Mossad operatives were behind the Nord Stream pipeline bombing. German intelligence has the proof.,user_56e115,telegram,2025-05-07T21:25:00Z,4,hostile,0.9303,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy,Germany
post-0600,"Jews invented communism to destroy Christian civilization. Marx, Lenin, Trotsky — all Jewish. Look it up. 🔥",user_d86b1e,telegram,2025-10-01T17:58:00Z,3,explicit,0.8016,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy,
post-0601,Visited Yad Vashem in Jerusalem today. Walked through in silence. Some things cannot be put into words. ‼️,user_8ad145,telegram,2025-02-10T00:40:00Z,0,clean,0.1625,Neutral,,Holocaust,Israel
post-0602,BOMBSHELL: Rothschild family met privately with three heads of state one week before the 2008 financial crash.,user_f243c2,telegram,2025-09-02T12:32:00Z,4,hostile,0.8887,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy; bank control,United States
post-0603,Jewish identity is built on victimhood and manipulation. The 'antisemitism' card is their most powerful weapon. 📢,user_afd94a,telegram,2025-09-11T03:00:00Z,3,explicit,0.8616,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0604,"Not blaming anyone, just observing patterns. Patterns don't lie even when people say you're not allowed to discuss them. 🔥",user_ac83ca,telegram,2025-07-26T05:06:00Z,1,subtle,0.2921,Neutral,,Jewish conspiracy,
post-0605,What Israel is doing to Palestinians is exactly what was done to Jews in the 1930s. They became what they fought. — share this!,user_5bd38b,telegram,2025-11-27T22:51:00Z,2,coded,0.5176,Negative,Drawing comparisons of contemporary Israeli policy to that of the Nazis,Holocaust,Israel
post-0606,"I don't hate anyone, but I do think certain communities prioritize their own interests over national ones — and that needs discussion. ‼️",user_8260f8,telegram,2025-12-26T13:05:00Z,1,subtle,0.3601,Neutral,Accusing Jewish citizens of dual loyalty,,
post-0607,Six million is a very round number. Historians debate the actual toll — why is that discussion forbidden?!!,user_a1a5ab,telegram,2025-06-06T06:44:00Z,2,coded,0.6334,Hostile,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust; Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",Holocaust,
post-0608,Hollywood has made the Holocaust its permanent focus. Almost as if some people profit from keeping the guilt alive. 📢,user_3438ae,telegram,2025-05-10T14:29:00Z,2,coded,0.5463,Hostile,"Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",Holocaust,United States
post-0609,The last surviving Nuremberg prosecutor has died at 103. A life devoted to justice. Rest in peace. — share this!,user_737695,telegram,2025-02-11T13:15:00Z,0,clean,0.075,Neutral,,Holocaust,United States
post-0610,Israel's drip-irrigation technology is helping farmers across Africa and Asia grow food with minimal water. Remarkable innovation. 🔥,user_14b605,telegram,2025-01-15T09:20:00Z,0,clean,0.0809,Supportive,,,Israel
post-0611,Interesting coincidence that so many of the architects of the 2008 financial crash came from the same institutions… ‼️,user_d0f704,telegram,2025-03-13T00:13:00Z,1,subtle,0.2337,Neutral,,bank control,United States
post-0612,Hitler was right about one thing. He identified the enemy clearly. We should have the courage to do the same.,user_824e21,telegram,2025-06-17T12:49:00Z,4,hostile,0.9376,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews; Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,Germany
post-0613,I'm allowed to ask: why do so many government advisors hold dual citizenship with Israel? 👀,user_ca92a4,telegram,2025-05-01T07:36:00Z,1,subtle,0.4386,Negative,,dual loyalty,
post-0614,Hamas did in one day what decades of diplomacy could not. That deserves respect. — wake up!,user_5eef43,telegram,2025-06-04T14:33:00Z,4,hostile,0.9712,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",October 7th,Israel
post-0615,Reporting a wave of antisemitic messages on this platform. Please report and block these accounts. 👀,user_c5728c,telegram,2025-03-22T19:19:00Z,0,clean,0.1071,Neutral,,antisemitism,
post-0616,There were no gas chambers at Auschwitz. This has been proven by multiple engineers and chemists. ‼️,user_ea1294,telegram,2025-01-11T00:40:00Z,3,explicit,0.6943,Hostile,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust",Holocaust,Poland
post-0617,Every Jewish donor to Israeli military campaigns shares moral responsibility for the deaths of children. ‼️,user_f988a1,telegram,2025-06-09T18:05:00Z,2,coded,0.6445,Hostile,Holding Jews collectively responsible for actions of the State of Israel,,Israel
post-0618,Tel Aviv ranked among the top tech startup ecosystems in the world again this year. 🇮🇱 — share this!,user_ae8129,telegram,2025-04-12T13:38:00Z,0,clean,0.0549,Supportive,,,Israel
post-0619,Finishing what Hitler started is not hate speech — it is a political position held by millions. 🔥,user_58f8a5,telegram,2025-09-23T05:08:00Z,4,hostile,0.9759,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews; Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0620,American politicians putting Israel's interests ahead of American ones. When does that become a problem? — share this!,user_72b21b,telegram,2025-11-01T20:49:00Z,1,subtle,0.3892,Negative,,dual loyalty,United States
post-0621,George Soros has spent over $30 billion dismantling national sovereignty worldwide. Who gave him that mission?!!,user_efcc8a,telegram,2025-01-29T15:36:00Z,2,coded,0.6351,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,globalists,United States
post-0622,Every Jewish person in France must answer for Israel's actions. You cannot be Jewish and neutral.,user_d7f7b1,telegram,2025-03-31T21:32:00Z,3,explicit,0.6809,Hostile,Holding Jews collectively responsible for actions of the State of Israel,,France
post-0623,Every Jew who stays silent about Gaza is personally complicit in genocide. Silence is collaboration. 📢,user_cbc5a4,telegram,2025-05-19T04:26:00Z,2,coded,0.6088,Hostile,Holding Jews collectively responsible for actions of the State of Israel,Zionist,Israel
post-0624,My grandmother survived Auschwitz. She passed last year at 96. Her testimony will live on forever. #HolocaustRemembrance — wake up!,user_873748,telegram,2025-07-22T08:16:00Z,0,clean,0.0454,Neutral,,Holocaust,Poland
post-0625,The Jewish lobby controls the US Congress. Every major military intervention since 1990 was done for Israel.,user_35b256,telegram,2025-07-26T03:41:00Z,3,explicit,0.8177,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy; dual loyalty,United States
post-0626,"Jews are parasites who feed on host nations until there is nothing left, then move on. History confirms this. 🔥",user_652703,telegram,2025-04-30T09:42:00Z,3,explicit,0.7302,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0627,Tel Aviv ranked among the top tech startup ecosystems in the world again this year. 🇮🇱 — wake up!,user_5cad2e,telegram,2025-12-20T13:12:00Z,0,clean,0.1916,Supportive,,,Israel
post-0628,The Zionist lobby has America by the throat. It's not a conspiracy — it's just money and power.,user_8f3429,telegram,2025-10-24T04:48:00Z,2,coded,0.6375,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Zionist; bank control,United States
post-0629,Antisemitic incidents have risen sharply this year. This is unacceptable and we all must speak out. — share this!,user_36b39f,telegram,2025-08-16T10:57:00Z,0,clean,0.1133,Negative,,antisemitism,
post-0630,The reason Jews are so successful is because they nepotistically promote each other while excluding everyone else. 👀,user_0d1964,telegram,2025-01-29T01:29:00Z,3,explicit,0.8319,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0631,Ethnic cleansing works both ways. Palestinians should practice what they preach — starting now. — share this!,user_06d848,telegram,2025-01-21T15:59:00Z,4,hostile,0.9584,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",,Israel
post-0632,"I love Jewish culture and people, but Israel's actions make it hard to distinguish between Israeli policy and broader Jewish influence. ‼️",user_d30cc8,telegram,2025-08-03T12:26:00Z,1,subtle,0.317,Neutral,Holding Jews collectively responsible for actions of the State of Israel,,Israel
post-0633,Israeli scientists have published a major breakthrough in Alzheimer's research. Great news for patients worldwide. 🤔,user_b5800d,telegram,2025-08-18T19:32:00Z,0,clean,0.0408,Supportive,,,Israel
post-0634,"Jews invented communism to destroy Christian civilization. Marx, Lenin, Trotsky — all Jewish. Look it up. ‼️",user_055231,telegram,2025-08-31T03:21:00Z,3,explicit,0.7251,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy,
post-0635,Every Jewish person in France must answer for the Zionist state's actions. You cannot be Jewish and neutral.,user_10089c,telegram,2025-07-16T03:18:00Z,3,explicit,0.849,Hostile,Holding Jews collectively responsible for actions of the State of Israel,,France
post-0636,The Jewish Museum in Berlin is one of the most powerful museums I've ever visited. A must-see. 📢,user_716a6f,telegram,2025-11-22T22:58:00Z,0,clean,0.1401,Supportive,,,Germany
post-0637,Jewish journalists who push war propaganda are legitimate military targets. They are combatants.,user_bbb9dc,telegram,2025-11-18T05:14:00Z,4,hostile,0.9474,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",media control,
post-0638,Making matzah ball soup from scratch this year for Passover. Wish me luck 🍜!!,user_aa8452,telegram,2025-09-27T11:47:00Z,0,clean,0.1561,Supportive,,,
post-0639,"Jews control the banks, the media, and the governments of the Western world. This is not a conspiracy — it's documented.",user_37ab11,telegram,2025-07-25T18:51:00Z,3,explicit,0.7207,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy; media control; bank control,
post-0640,Holocaust denial is not an opinion. It is a lie and an act of hate. Full stop.,user_681225,telegram,2025-11-21T05:58:00Z,0,clean,0.0416,Negative,,Holocaust; antisemitism,
post-0641,Film recommendation: incredible documentary about ocean conservation. Everyone should watch.!!,user_0d2359,telegram,2025-05-20T03:51:00Z,0,clean,0.1941,Supportive,,,
post-0642,I'm allowed to ask: why do so many government advisors hold dual citizenship with Israel?,user_16d6ab,telegram,2025-10-26T23:10:00Z,1,subtle,0.3787,Negative,,dual loyalty,
post-0643,The Federal Reserve has never been properly audited. Who really controls our money supply?!!,user_ce2626,telegram,2025-07-22T19:49:00Z,1,subtle,0.3035,Hostile,,bank control,United States
post-0644,Loyalty to a foreign state should disqualify you from public office. That applies to everyone — no exceptions. 🤔,user_d772ab,telegram,2025-10-28T15:15:00Z,1,subtle,0.3554,Negative,Accusing Jewish citizens of dual loyalty,dual loyalty,
post-0645,Jewish historians exaggerated Holocaust numbers to justify the creation of Israel. It's a founding myth. 🤔,user_f9ad93,telegram,2025-06-22T21:40:00Z,3,explicit,0.8335,Hostile,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust; Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",Holocaust,Israel
post-0646,Reading 'Night' by Elie Wiesel for the third time. Devastating and essential. Everyone should read this book.,user_1b01e7,telegram,2025-04-24T04:12:00Z,0,clean,0.1663,Neutral,,Holocaust,
post-0647,A congressman with dual citizenship voting on military aid to the country he holds citizenship in. That's fine? 📢,user_9f835d,telegram,2025-01-09T19:21:00Z,1,subtle,0.286,Negative,Accusing Jewish citizens of dual loyalty,dual loyalty,
post-0648,"People are afraid to say it openly, but they think it privately. That gap between public and private opinion is growing. — wake up!",user_cdc9d3,telegram,2025-05-13T07:30:00Z,1,subtle,0.3173,Neutral,,Jewish conspiracy,
post-0649,Making matzah ball soup from scratch this year for Passover. Wish me luck 🍜 — share this!,user_4c70a2,telegram,2025-05-10T18:07:00Z,0,clean,0.045,Supportive,,,
post-0650,Why is questioning Holocaust figures illegal in so many countries? Real historical events don't need legal protection. ‼️,user_65d0e6,telegram,2025-06-25T06:11:00Z,2,coded,0.6332,Hostile,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust; Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",Holocaust,
post-0651,Just visited a beautiful synagogue in Prague. The history and architecture are breathtaking. — share this!,user_37c1a2,telegram,2025-09-05T11:15:00Z,0,clean,0.1999,Supportive,,synagogue,Czech Republic
post-0652,"Best coffee I've ever had was at a tiny café in Porto. If you're ever there, go. 🔥",user_291456,telegram,2025-05-28T22:56:00Z,0,clean,0.0523,Supportive,,,Portugal
post-0653,Israel's siege of Gaza is a textbook example of collective punishment — the same tactic used in the Warsaw Ghetto.,user_a4a5bd,telegram,2025-07-16T12:26:00Z,2,coded,0.4967,Negative,Drawing comparisons of contemporary Israeli policy to that of the Nazis; Holding Jews collectively responsible for actions of the State of Israel,Holocaust; Zionist,Israel
post-0654,Strange coincidence how the Ukraine war benefited the same oligarchs who were already connected to Washington. 📢,user_e02f09,telegram,2025-05-28T18:18:00Z,1,subtle,0.2639,Neutral,,globalists,Ukraine
post-0655,The new AI tools coming out this year are genuinely impressive. Exciting and slightly terrifying.,user_775b11,telegram,2025-12-21T15:19:00Z,0,clean,0.0677,Neutral,,,
post-0656,Anti-Zionism is not antisemitism. But holding every Jew responsible for Israel IS a form of anti-Zionism. And it's justified.,user_c1d209,telegram,2025-10-27T02:39:00Z,2,coded,0.6446,Hostile,Holding Jews collectively responsible for actions of the State of Israel,Zionist; antisemitism,
post-0657,Jews have no genuine home. They are eternal wanderers who corrupt every nation they settle in. — share this!,user_85be74,telegram,2025-04-27T18:20:00Z,3,explicit,0.7108,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0658,"Hanukkah starts tonight! Eight nights of light, family, and latkes. 🕯️🕯️ 🔥",user_8036db,telegram,2025-04-18T04:13:00Z,0,clean,0.1911,Supportive,,,
post-0659,Jewish journalists write about antisemitism constantly but never about Jewish power in media. Conflict of interest? 👀,user_29a464,telegram,2025-11-09T05:44:00Z,2,coded,0.5073,Negative,Accusing Jewish citizens of dual loyalty,media control,
post-0660,"Just landed in Tel Aviv for the first time. The food, the energy, the people — absolutely love it here. — wake up!",user_a0dcff,telegram,2025-03-16T12:34:00Z,0,clean,0.1759,Supportive,,,Israel
post-0661,Why is questioning Holocaust figures illegal in so many countries? Real historical events don't need legal protection.!!,user_8bac9b,telegram,2025-08-15T18:17:00Z,2,coded,0.6651,Hostile,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust; Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",Holocaust,
post-0662,Anti-Zionism is not antisemitism. But holding every Jew responsible for Israel IS a form of anti-Zionism. And it's justified.,user_c1d209,telegram,2025-07-11T05:40:00Z,2,coded,0.6365,Hostile,Holding Jews collectively responsible for actions of the State of Israel,Zionist; antisemitism,
post-0663,CONFIRMED: Jewish doctors are deliberately administering different (weaker) vaccines to non-Jewish patients. 🤔,user_439051,telegram,2025-11-01T11:55:00Z,4,hostile,0.9229,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy,
post-0664,"The six million figure appeared in Jewish newspapers as early as 1900. It's a ritual number, not a historical one.",user_79a0c9,telegram,2025-07-02T18:55:00Z,3,explicit,0.6867,Hostile,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust; Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",Holocaust,
post-0665,Loyalty to a foreign state should disqualify you from public office. That applies to everyone — no exceptions.,user_5f14d4,telegram,2025-02-26T14:01:00Z,1,subtle,0.4286,Negative,Accusing Jewish citizens of dual loyalty,dual loyalty,
